Material,WorkFxn,mag_moment,Bandgap,lat_const,C11,C12,Y2D,G,K,v,V_l,V_s,V_m,T_D
CaIrTe3,4.453302,0.736,0.2208,6.822,6.71,6.18,1.02,0.27,6.44,0.92,1.63,0.32,0.45,42.81
Ca2W2Se6,4.455914,1.903,0.2732,7.123,11.84,5.16,9.6,3.34,8.5,0.44,1.84,0.98,1.22,158.01
MgMnSe3,4.460413,2.68,0.3812,6.309,14.38,-8.51,9.34,11.44,2.93,-0.59,3.07,2.74,2.89,298.17
SrRuSe3,4.461795,1.726,0.5513,6.608,41.39,-23.48,28.08,32.43,8.96,-0.57,4.71,4.17,4.41,434.16
Ce2Pt2Te6,4.465103,1.924,0.2183,6.605,34.04,20.6,21.57,6.72,27.32,0.61,2.32,1.03,1.33,185.69
Ca2Ir2Te6,4.466093,0.231,0.1735,6.466,46.51,-2.15,46.41,24.33,22.18,-0.05,2.87,2.08,2.38,338.5
BaVO3,4.468367,0.732,3.2666,5.729,21.2,-0.41,21.19,10.8,10.4,-0.02,3.92,2.8,3.22,365.56
MgRuS3,4.476693,1.745,0.2066,5.969,14.31,-4.17,13.09,9.24,5.07,-0.29,3.46,2.78,3.07,334.38
CeWF3,4.481838,-0.6,0.1591,4.908,135.5,58.02,110.65,38.74,96.76,0.43,6.68,3.57,4.46,590.65
Ba2Zn2Te6,4.482083,0.035,0.1442,6.639,79.54,16.5,76.12,31.52,48.02,0.21,3.95,2.49,2.98,412.41
Ca2Fe2O6,4.484154,5.712,0.23,5.348,49.61,25.58,36.42,12.02,37.6,0.52,5.07,2.49,3.17,544.52
Ba2Ti2S6,4.484905,0,1.1506,6.833,42.15,15.14,36.72,13.51,28.65,0.36,4.27,2.42,2.97,400.48
Mg2Co2Se6,4.49019,0.678,0.2252,5.798,60.6,53.19,13.9,3.7,56.89,0.88,4.07,1.01,1.38,219.22
Ce2Sn2O6,4.495305,1.92,2.5606,5.793,20.48,-2.78,20.1,11.63,8.85,-0.14,2.42,1.82,2.06,326.6
Sr2V2S6,4.49546,1.966,0.2541,6.601,38.47,24.82,22.46,6.82,31.64,0.65,4.31,1.82,2.37,330.05
Ca2Nb2S6,4.504995,0,1.3703,6.867,15.81,13.99,3.43,0.91,14.9,0.88,2.91,0.7,0.96,128.67
CaPtTe3,4.512865,0.172,0.2929,6.696,20.99,16.93,7.34,2.03,18.96,0.81,2.82,0.88,1.18,115.02
Sr2Ni2Te6,4.525853,1.917,0.2793,6.646,40.61,22.73,27.89,8.94,31.67,0.56,2.97,1.39,1.79,247.17
Ca2Pt2Se6,4.527472,0.084,0.1662,5.722,55.66,-12.89,52.67,34.27,21.38,-0.23,3.17,2.49,2.77,445.22
Ce2Ir2Te6,4.530451,1.827,0.1481,6.712,10.88,-9,3.43,9.94,0.94,-0.83,1.34,1.28,1.31,179.02
Ba2Ag2Te6,4.531937,0,0.2047,6.751,62.32,7.69,61.37,27.31,35,0.12,3.43,2.27,2.68,365.24
BaRuSe3,4.54132,1.726,0.8751,6.826,27.16,18.12,15.07,4.52,22.64,0.67,3.73,1.52,1.99,189.64
Sr2Cu2Te6,4.541741,0.003,0.2132,6.635,65.63,17.23,61.11,24.2,41.43,0.26,3.76,2.28,2.76,382.2
Sr2Pb2Se6,4.549833,0.781,0.1799,6.481,23.8,2.99,23.42,10.4,13.4,0.13,2.21,1.46,1.73,245.04
MgPbCl3,4.552835,0.32,0.9799,6.731,7.16,2.8,6.07,2.18,4.98,0.39,2.24,1.23,1.53,147.76
Sr2Ti2S6,4.555706,0,0.9126,6.705,30.89,17.76,20.69,6.57,24.32,0.57,3.95,1.82,2.34,321.17
Sr2V2Se6,4.560009,2.074,0.5102,6.957,28.98,19.17,16.29,4.9,24.07,0.66,3.12,1.28,1.68,221.96
Ba2Zn2I6,4.561002,0,1.8568,7.89,18.21,9.57,13.18,4.32,13.89,0.53,2.25,1.1,1.39,162.49
Sr2Pt2Te6,4.562893,0.104,0.0839,6.575,41.33,3.46,41.04,18.93,22.39,0.08,2.65,1.79,2.1,293.38
MgTiTe3,4.568675,0.402,0.3408,7.214,10.23,3.93,8.72,3.15,7.08,0.38,2.47,1.37,1.69,152.79
BaMnTe3,4.571245,3.054,0.3382,7.241,7.69,-5.03,4.4,6.36,1.33,-0.65,1.91,1.74,1.82,163.39
Ca2Ti2Se6,4.577961,0,0.3419,6.985,17.28,13.7,6.42,1.79,15.49,0.79,2.6,0.84,1.13,148.4
BaRuS3,4.57844,1.68,1.3024,6.578,10.4,-2.21,9.93,6.3,4.09,-0.21,2.65,2.06,2.3,227.46
BaPtSe3,4.583878,0.279,0.2503,6.813,3,1.21,2.51,0.9,2.1,0.4,1.13,0.62,0.77,73.14
SrPtTe3,4.603648,0.168,0.2925,6.868,19.08,6.83,16.63,6.12,12.96,0.36,2.66,1.5,1.85,175.3
MgSnCl3,4.610421,0.324,0.9892,6.668,2.49,0.18,2.48,1.16,1.33,0.07,1.52,1.04,1.21,118.27
MgRuF3,4.612056,0.414,1.1685,4.805,79.03,19.4,74.26,29.81,49.21,0.25,7.22,4.44,5.35,723.63
Ba2Cr2Se6,4.612075,4.31,0.3456,6.988,35.71,21.91,22.27,6.9,28.81,0.61,3.27,1.44,1.86,244.67
Ca2Nb2Se6,4.613173,0,1.3334,7.245,14.73,6.78,11.6,3.97,10.75,0.46,2.33,1.21,1.52,193.17
Ba2Ir2Te6,4.614898,0.536,0.1067,7.32,26.73,26.52,0.41,0.1,26.62,0.99,2.29,0.14,0.2,25.14
MgReSe3,4.615897,0.069,0.1556,7.103,8.73,-3.5,7.33,6.11,2.62,-0.4,2.27,1.9,2.06,188.31
Mg2Cu2Se6,4.621949,0.53,0.1434,5.889,58.26,-1.85,58.2,30.06,28.21,-0.03,4.03,2.89,3.32,518.97
Mg2Pt2Br6,4.624008,0.118,0.5229,7.687,18.88,9.09,14.5,4.89,13.98,0.48,2.52,1.28,1.61,193.23
SrIrF3,4.624708,1.707,0.8186,5.108,103.37,-70.27,55.6,86.82,16.55,-0.68,6.46,5.92,6.17,786.13
MgSnO3,4.626183,1.845,1.0853,4.694,204.82,-49.97,192.62,127.39,77.42,-0.24,11.1,8.75,9.72,1346.84
Sr2Ru2S6,4.627399,3.411,0.3301,6.465,46.41,34.3,21.06,6.05,40.36,0.74,4.21,1.52,2.02,287.98
Ba2Cr2S6,4.634341,4.091,0.2459,6.66,42.86,23.46,30.02,9.7,33.16,0.55,4.17,1.98,2.53,349.61
Mg2Ir2Br6,4.639268,0.037,1.2994,7.618,8.78,8.36,0.83,0.21,8.57,0.95,1.71,0.27,0.37,44.89
MgMnS3,4.640225,2.695,0.3042,5.978,21.29,-6.02,19.59,13.65,7.64,-0.28,4.76,3.81,4.2,457.41
Ca2Co2I6,4.644614,3.873,1.6999,7.657,15.87,10.5,8.93,2.69,13.18,0.66,2.25,0.93,1.21,145.38
Ba2Ir2F6,4.651772,0.3,0.7655,5.613,31.7,13.41,26.03,9.15,22.56,0.42,2.6,1.39,1.74,284.62
Ca2Zn2Te6,4.667004,0,0.3774,6.453,87.76,19.04,83.63,34.36,53.4,0.22,4.42,2.76,3.31,472.35
Mg2W2S6,4.672183,1.628,0.4355,6.902,5.83,4.04,3.02,0.89,4.94,0.69,1.54,0.6,0.79,105.92
Sr2Ti2O6,4.678908,0,1.4316,5.675,45.26,25.35,31.07,9.96,35.31,0.56,4.55,2.13,2.73,442.98
Ca2Ag2Se6,4.700145,0,0.257,5.952,65.24,12.69,62.77,26.27,38.97,0.19,3.96,2.51,3,463.36
Sr2Ir2O6,4.701643,1.867,0.2907,5.779,45.97,40.04,11.09,2.96,43.01,0.87,3.49,0.89,1.22,193.59
Ba2Ru2Se6,4.71188,3.038,0.2133,6.829,28.78,16.97,18.77,5.91,22.87,0.59,2.71,1.23,1.58,213.26
Ca2Cr2O6,4.71343,3.709,0.2433,5.481,42.88,22.55,31.03,10.17,32.72,0.53,4.9,2.38,3.03,508.76
CaAgCl3,4.718162,0,2.2039,6.328,13.14,-10.86,4.17,12,1.14,-0.83,3.28,3.14,3.21,329.9
Ba2Fe2S6,4.720201,3.055,0.1114,6.498,46.3,31.16,25.33,7.57,38.73,0.67,4.2,1.7,2.23,314.99
BaPtS3,4.724734,0.288,0.2142,6.511,22.5,18.04,8.03,2.23,20.27,0.8,3.41,1.07,1.45,144.49
MgTiS3,4.725635,0,0.3511,6.225,4.67,-1.9,3.9,3.28,1.39,-0.41,2.37,1.99,2.15,224.81
BaNiTe3,4.731423,0.283,0.2771,6.943,19.87,13.74,10.38,3.07,16.81,0.69,2.94,1.15,1.52,142.31
Ba2Co2Te6,4.745153,3.125,0.1681,7.116,34.15,18.39,24.24,7.88,26.27,0.54,2.79,1.34,1.71,220.84
CaMnSe3,4.748412,2.943,0.2938,6.449,14,2.52,13.55,5.74,8.26,0.18,3.02,1.94,2.31,232.61
BaCuSe3,4.755991,0,0.5486,6.54,23.54,19.41,7.53,2.06,21.48,0.82,3.46,1.03,1.39,138.3
MgMoSe3,4.76334,1.291,0.3419,6.877,24.03,-4.45,23.2,14.24,9.79,-0.19,4.07,3.14,3.51,332.32
Sr2Cr2Se6,4.765415,4.274,0.206,6.867,31.12,20.18,18.03,5.47,25.65,0.65,3.19,1.34,1.74,233.48
Ca2Ti2S6,4.768989,0,0.7406,6.645,22.89,15.05,12.99,3.92,18.97,0.66,3.78,1.56,2.04,283.07
Ce2Mn2S6,4.77466,3.91,0.3,6.12,63.27,53.57,17.9,4.85,58.42,0.85,4.61,1.27,1.74,261.13
Ba2Ni2Te6,4.777695,1.797,0.0443,6.988,32.73,21.37,18.78,5.68,27.05,0.65,2.68,1.12,1.46,192.09
Ba2Cu2Te6,4.779085,0,0.2607,6.784,58.28,11.55,55.99,23.37,34.92,0.2,3.46,2.19,2.62,355.05
CaMnS3,4.779146,2.781,0.3092,6.16,15.48,-2.98,14.9,9.23,6.25,-0.19,4,3.09,3.46,365.22
Ba2Zn2O6,4.780693,3.567,0.0956,5.569,33.09,26.44,11.96,3.32,29.76,0.8,3.27,1.04,1.4,230.55
Ca2Ni2Se6,4.78176,1.957,0.2568,5.963,54.05,12.42,51.2,20.82,33.23,0.23,3.86,2.4,2.88,444.42
Sr2Zn2Te6,4.787634,0,0.5603,6.543,86.13,15.29,83.41,35.42,50.71,0.18,4.24,2.72,3.23,454.58
Ce2Mn2Se6,4.796183,3.439,0.1576,6.343,29.85,23.03,12.09,3.41,26.44,0.77,2.69,0.91,1.22,176.84
CeIrCl3,4.808115,-0.905,0.098,5.831,16.88,7.2,13.8,4.84,12.04,0.43,2.61,1.4,1.74,194.45
Ce2Mo2F6,4.808599,-0.203,0.1249,5.337,29.52,-11.41,25.11,20.47,9.05,-0.39,2.74,2.28,2.47,426.56
Ba2Fe2Te6,4.824421,2.901,0.1401,7.147,10.85,1.97,10.49,4.44,6.41,0.18,1.58,1.01,1.21,155.34
Mg2W2Se6,4.830157,1.727,0.3596,7.268,10.15,6.06,6.53,2.05,8.1,0.6,1.77,0.8,1.03,129.9
SrPtO3,4.83644,0,2.9002,5.717,59.41,49.27,18.56,5.07,54.34,0.83,5.53,1.62,2.19,249.68
SrNiSe3,4.855299,0.255,0.3732,6.361,10.47,-8.13,4.15,9.3,1.17,-0.78,2.4,2.26,2.33,238.13
Ce2Fe2O6,4.861515,0.011,1.5952,5.385,72.56,51.55,35.94,10.51,62.05,0.71,4.74,1.8,2.38,407.38
Ca2V2S6,4.861736,1.988,0.1291,6.532,21.44,18.32,5.79,1.56,19.88,0.85,3.57,0.96,1.31,185.16
Mg2Ru2I6,4.8685,2.076,0.7253,7.947,14.03,2.54,13.57,5.74,8.28,0.18,2.14,1.37,1.63,188.45
Sr2Pt2Se6,4.886571,0.08,0.1134,5.965,18.47,-3.54,17.79,11,7.47,-0.19,1.82,1.4,1.57,241.95
Ba2Pt2O6,4.886671,0,1.4677,5.857,66.87,30.95,52.55,17.96,48.91,0.46,3.96,2.05,2.58,405.2
Ba2Ni2O6,4.890961,3.74,1.4755,5.57,56.81,43.32,23.78,6.75,50.07,0.76,4.34,1.5,2,330.16
Ca2Mn2O6,4.894755,5.655,1.3692,5.383,55.16,20.27,47.71,17.44,37.71,0.37,5.4,3.04,3.74,639.39
Ca2Ag2S6,4.895508,0,0.3405,5.623,59.74,6.92,58.93,26.41,33.33,0.12,4.49,2.99,3.52,575.27
Sr2Ag2Se6,4.900999,0,0.2274,6.078,66.73,9.24,65.45,28.75,37.98,0.14,3.86,2.53,2.99,452.76
BaMnO3,4.903699,2.716,3.8132,5.758,34.63,28.19,11.7,3.22,31.41,0.81,4.99,1.52,2.06,232.71
CaSnO3,4.907383,1.782,1.3913,4.845,113.16,-9.28,112.4,61.22,51.94,-0.08,8.18,6.02,6.86,920.62
SrNiS3,4.917776,0.154,0.4124,6.109,13.92,9.23,7.8,2.34,11.58,0.66,3.34,1.37,1.79,191.05
Ba2Mn2Te6,4.918679,5.608,0.1767,7.441,21.49,15.48,10.33,3,18.48,0.72,2.32,0.87,1.15,142.14
Ca2Cu2Se6,4.920246,0,0.2597,5.956,71.54,17.46,67.28,27.04,44.5,0.24,4.41,2.71,3.26,504.19
MgZnCl3,4.926674,0.316,1.2099,6.943,2.82,1.91,1.52,0.45,2.36,0.68,1.9,0.76,1,93.76
MgAgI3,4.936927,0.582,0.4214,7.565,19.45,8.43,15.8,5.51,13.94,0.43,3.36,1.79,2.24,192.21
Sr2Ir2F6,4.943656,-0.326,0.4783,5.439,17.69,9.58,12.5,4.05,13.63,0.54,2.01,0.96,1.23,207.84
Mg2Nb2O6,4.950889,0,2.2398,5.99,48.22,39.52,15.82,4.35,43.87,0.82,5.22,1.57,2.12,326.3
Mg2V2O6,4.977299,0.107,1.3947,5.565,67.41,30.56,53.55,18.42,48.99,0.45,6.64,3.47,4.35,719.63
Ba2Ag2F6,4.990201,0,0.9672,6.028,8.3,0.69,8.25,3.81,4.5,0.08,1.61,1.09,1.28,195.2
Ca2Co2Se6,4.990879,0.935,0.2905,6.295,25.84,24.12,3.32,0.86,24.98,0.93,2.82,0.51,0.72,104.49
Sr2Ni2O6,4.991862,3.777,1.2428,5.403,59.35,51.56,14.56,3.9,55.45,0.87,4.82,1.24,1.69,288.08
Mg2Cr2O6,4.996619,3.634,0.0465,5.503,40.89,21.31,29.78,9.79,31.1,0.52,5.1,2.49,3.17,529.45
BaMnSe3,5.00238,2.878,0.1392,6.855,19.77,9.56,15.14,5.1,14.67,0.48,3.36,1.71,2.15,204.2
Mg2Ti2Se6,5.002486,-0.001,0.176,7.14,30.97,12.89,25.6,9.04,21.93,0.42,3.65,1.97,2.45,315.99
Ba2Co2Se6,5.004812,0.282,0.1299,6.667,43.65,28.42,25.15,7.62,36.03,0.65,3.42,1.43,1.86,256.97
Mg2Zn2Se6,5.010597,0.438,0.0981,5.763,91.73,11.74,90.23,39.99,51.74,0.13,4.93,3.26,3.84,613.35
Ba2Co2S6,5.014921,1.465,0.2886,6.396,48.56,32.52,26.78,8.02,40.54,0.67,4.21,1.71,2.24,322.23
Ba2Mn2S6,5.016715,4.157,0.2771,6.563,27.91,13.73,21.16,7.09,20.82,0.49,3.3,1.66,2.1,294.06
BaNiO3,5.019308,3.8,2.9423,5.645,21.76,16.01,9.98,2.88,18.88,0.74,3.85,1.4,1.86,214.28
Sr2Fe2Se6,5.028812,4.25,0.2243,6.589,16.19,14.93,2.43,0.63,15.56,0.92,2.2,0.43,0.6,84.06
BaSnO3,5.03292,0,3.6112,6.093,11.07,5.63,8.21,2.72,8.35,0.51,2.66,1.32,1.67,178.02
Sr2Co2Se6,5.046974,0.186,0.1476,6.482,40.61,31.68,15.89,4.46,36.14,0.78,3.41,1.13,1.52,215.08
Ca2V2Se6,5.052671,2.201,0.5547,6.911,14.9,12.57,4.3,1.17,13.73,0.84,2.38,0.67,0.91,120.66
Ba2Mn2Se6,5.056156,4.307,0.2415,6.914,25.63,17.02,14.32,4.3,21.32,0.66,2.73,1.12,1.46,194.6
Mg2Fe2I6,5.080458,2.437,0.9355,7.772,16.71,-2.25,16.41,9.48,7.23,-0.13,2.39,1.8,2.03,240.6
BaNiS3,5.083696,0.177,0.3829,6.323,21.6,20.34,2.46,0.63,20.97,0.94,3.93,0.67,0.94,96.33
Mg2Cu2S6,5.094293,0,0.2519,5.529,52.92,7.26,51.92,22.83,30.09,0.14,4.79,3.14,3.72,618.33
CaIrF3,5.121812,1.697,0.6409,4.934,28.07,4.05,27.49,12.01,16.06,0.14,3.51,2.3,2.72,358.16
Sr2Co2S6,5.125482,0.853,0.418,6.2,46.25,39.48,12.56,3.39,42.87,0.85,4.37,1.18,1.61,239.5
Sr2Cu2Se6,5.151243,0,0.252,6.107,63.44,13.15,60.72,25.15,38.3,0.21,3.99,2.51,3,452.45
Ba2Fe2Se6,5.156192,2.863,0.1798,6.756,34.55,17.16,26.03,8.7,25.85,0.5,3.09,1.55,1.96,266.94
BaFeS3,5.169265,1.971,0.2191,6.472,8.36,-1.62,8.05,4.99,3.37,-0.19,2.51,1.94,2.17,218.28
SrSnO3,5.172405,1.794,1.6694,4.985,119.3,36.53,108.11,41.39,77.91,0.31,7.8,4.59,5.6,730.06
Ba2Co2O6,5.175537,3.848,0.32,5.593,52.5,40.01,22.01,6.24,46.25,0.76,4.19,1.44,1.93,317.48
Ba2Sn2O6,5.176468,1.747,0.0825,5.894,29.58,15.13,21.85,7.23,22.36,0.51,2.97,1.47,1.86,290.3
Mg2Nb2Se6,5.1765,0,1.2119,7.487,20.33,7.78,17.35,6.28,14.06,0.38,2.9,1.61,1.99,244.42
BaFeSe3,5.176933,2.111,0.0927,6.743,18.88,6.71,16.5,6.09,12.79,0.36,3.23,1.83,2.25,217.29
Ba2Ag2Se6,5.177055,0,0.1735,6.247,57.47,3.72,57.23,26.88,30.59,0.06,3.48,2.38,2.78,409.34
Ca2Ru2S6,5.177186,3.378,0.2807,6.465,27.26,10.99,22.83,8.14,19.13,0.4,3.54,1.93,2.4,341.3
Ca2Zn2Se6,5.195542,0,0.7934,5.831,107.03,18.51,103.83,44.26,62.77,0.17,5.26,3.39,4.03,635.19
Mg2Mo2S6,5.196469,1.649,0,6.868,6.13,5.7,0.85,0.22,5.92,0.93,1.87,0.35,0.49,65.73
Sr2Mn2Se6,5.200214,4.331,0.1668,6.742,14.06,9.62,7.48,2.22,11.84,0.68,2.1,0.83,1.09,149.27
CePtF3,5.208581,0.761,0.0265,4.786,76.09,47.72,46.17,14.19,61.9,0.63,4.81,2.08,2.7,366.75
Mg2Fe2O6,5.210037,3.816,0.4198,5.327,24.16,4.41,23.35,9.87,14.29,0.18,3.73,2.39,2.84,491.21
Ca2Ti2O6,5.211968,0,1.37,5.586,41.35,29.73,19.97,5.81,35.54,0.72,4.97,1.86,2.47,406.57
CaFeS3,5.220416,2.056,0.3466,6.045,19.38,19.14,0.49,0.12,19.26,0.99,4.38,0.35,0.49,52.81
MgPtO3,5.231345,0,1.2903,5.5,61.47,13.17,58.65,24.15,37.32,0.21,6.02,3.77,4.52,534.86
Ca2Ni2O6,5.244285,3.76,1.1796,5.307,36.24,34.8,2.82,0.72,35.52,0.96,4.26,0.6,0.84,145.61
Ba2Pb2O6,5.244855,1.756,1.1406,5.922,27.5,21.81,10.2,2.84,24.66,0.79,2.53,0.81,1.1,170.19
Ca2Re2S6,5.250983,1.726,0.0703,6.769,7.47,4.71,4.49,1.38,6.09,0.63,1.66,0.71,0.93,126.06
Ba2Cu2Br6,5.257463,0,3.7782,7.462,7.83,-1.77,7.43,4.8,3.03,-0.23,1.61,1.26,1.4,172.6
Ce2Sn2Se6,5.26255,1.922,0.0231,7.137,28.9,8.79,26.23,10.06,18.85,0.3,2.78,1.64,2,257.65
Sr2Pt2O6,5.263884,0,1.6256,5.749,59.22,35.11,38.4,12.06,47.16,0.59,3.93,1.77,2.28,365.54
Mg2Mo2Se6,5.267003,1.751,0.3194,7.233,9.6,8.53,2.01,0.53,9.06,0.89,1.91,0.45,0.62,78.92
Sr2Fe2S6,5.281183,4.577,0.3112,6.265,41.64,33.67,14.41,3.99,37.66,0.81,4.22,1.3,1.76,258.75
Mg2Ti2S6,5.292106,0,0.7112,6.82,34.62,12.6,30.03,11.01,23.61,0.36,4.99,2.82,3.47,467.78
Ca2Mn2Se6,5.303776,5.458,0.0994,6.664,0.53,0.44,0.18,0.05,0.48,0.82,0.43,0.13,0.18,24.34
Sr2Ag2S6,5.310212,0.047,0.1833,5.826,55.99,5.66,55.41,25.16,30.82,0.1,4.12,2.76,3.25,512.43
Sr2Cu2Cl6,5.340501,0,3.5406,6.974,8.93,4.65,6.5,2.14,6.79,0.52,2.1,1.03,1.3,171.88
Ba2Ir2S6,5.345366,1.404,0.3653,6.594,44.18,43.01,2.3,0.58,43.59,0.97,3.43,0.39,0.55,77.27
Ca2Cu2S6,5.345681,0.001,0.2157,5.684,58.9,15.65,54.74,21.63,37.27,0.27,4.98,3.02,3.65,590.97
SrAgF3,5.349527,0,2.6147,5.187,59.86,10.74,57.93,24.56,35.3,0.18,5.77,3.69,4.4,551.61
Ba2Zn2F6,5.350711,0,4.1505,5.747,29.91,5.21,29,12.35,17.56,0.17,3.15,2.02,2.41,385.32
Mg2Zn2S6,5.373272,0,0.6582,5.373,97.36,13.9,95.37,41.73,55.63,0.14,6.28,4.11,4.86,832.64
Sr2Zn2Se6,5.378104,0,0.8948,5.959,100.17,13.97,98.22,43.1,57.07,0.14,4.88,3.2,3.78,583.88
BaFeO3,5.417071,1.914,3.5895,5.719,29.89,22.51,12.93,3.69,26.2,0.75,4.6,1.61,2.15,245.05
Sr2Zn2F6,5.422912,0,4.0219,5.617,8.81,-0.31,8.8,4.56,4.25,-0.04,1.86,1.34,1.53,251.33
Sr2Cu2Br6,5.428676,0,3.3216,7.418,9.44,-4.77,7.03,7.1,2.33,-0.51,1.86,1.61,1.72,213.87
Ca2Cr2Se6,5.43481,6.087,0.3195,6.647,10.52,2.96,9.69,3.78,6.74,0.28,1.92,1.15,1.4,193.08
Ce2Sn2S6,5.436546,1.933,0.7505,6.82,35.15,10.16,32.22,12.5,22.66,0.29,3.46,2.07,2.51,338.48
Mg2Sn2O6,5.445681,1.73,0.1053,5.836,42.99,2.72,42.82,20.14,22.85,0.06,4.47,3.06,3.57,562.76
Mg2V2S6,5.445807,1.962,0.6375,6.662,28.27,10.45,24.4,8.91,19.36,0.37,4.37,2.45,3.02,417.48
Ba2Zn2Cl6,5.447626,0,4.3558,6.842,30.14,8.62,27.67,10.76,19.38,0.29,3.45,2.06,2.5,336.38
Sr2Co2O6,5.456258,4.436,0.1242,5.413,68.6,35.96,49.76,16.32,52.28,0.52,5.19,2.53,3.22,546.83
Mg2Co2I6,5.456871,4.208,0.389,7.781,18.47,0.54,18.46,8.97,9.5,0.03,2.51,1.75,2.03,239.58
CeIrF3,5.476025,-1.484,2.3964,4.836,56.43,26.02,44.43,15.2,41.23,0.46,4.2,2.18,2.74,368.38
Ba2Zn2Br6,5.488404,0,3.8804,7.34,18.17,8.65,14.04,4.76,13.41,0.48,2.4,1.23,1.55,193.86
Sr2Ag2F6,5.492967,0,0.7028,6.047,27.52,-0.78,27.5,14.15,13.37,-0.03,3.22,2.31,2.66,404.06
Mg2Nb2S6,5.49416,0,1.7775,7.085,28.35,9.66,25.05,9.34,19,0.34,4.17,2.39,2.94,381.15
Mg2V2Se6,5.49426,2.15,0.4922,7.014,40.73,14.14,35.83,13.3,27.43,0.35,4.09,2.34,2.87,376.41
Ba2Cu2Se6,5.50978,0.001,0.169,6.354,49.11,9.27,47.36,19.92,29.19,0.19,3.44,2.19,2.61,377.92
MgVF3,5.512673,1.928,1.3296,5.655,19.4,12.68,11.11,3.36,16.04,0.65,4.95,2.06,2.69,309.11
Mg2Cr2Se6,5.535613,4.21,0.2165,6.849,30.91,24.23,11.92,3.34,27.57,0.78,3.47,1.14,1.53,206.07
Sr2Cu2O6,5.544663,2.05,1.2375,5.367,47.68,44.31,6.5,1.68,46,0.93,4.24,0.8,1.11,189.81
Ba2Cu2O6,5.545152,2.054,1.7476,5.549,48.99,46.21,5.4,1.39,47.6,0.94,3.98,0.67,0.93,154.77
Sr2Zn2Cl6,5.565693,0,4.0411,6.737,20.21,12.13,12.93,4.04,16.17,0.6,3.04,1.36,1.75,239.32
Ca2Co2O6,5.574925,3.855,0.273,5.308,56.71,34.4,35.85,11.16,45.56,0.61,5.32,2.36,3.05,528.91
Ca2Cu2Cl6,5.575232,0,3.2164,6.975,11.16,2.86,10.43,4.15,7.01,0.26,2.6,1.58,1.91,252.21
Ba2Ag2Br6,5.585548,0,2.8586,7.664,8.05,5.9,3.72,1.07,6.97,0.73,1.59,0.58,0.77,92.79
Ca2Zn2S6,5.602063,0,0.9301,5.5,112.01,14.17,110.22,48.92,63.09,0.13,6.62,4.37,5.16,863.11
Ba2Ag2O6,5.619638,1.915,1.5683,5.849,14.28,9.4,8.1,2.44,11.84,0.66,2.08,0.86,1.13,177.15
Ba2Ag2Cl6,5.633697,0,2.6728,7.165,11.61,5.28,9.21,3.16,8.45,0.46,2.1,1.1,1.38,176.65
Ba2Ag2S6,5.636269,0.077,0.267,6.169,31.88,2.13,31.73,14.87,17,0.07,3.04,2.08,2.43,361.99
Sr2Cu2S6,5.698884,0.039,0.0933,5.931,48.93,14.39,44.7,17.27,31.66,0.29,4.26,2.53,3.08,477.15
Ca2Pt2O6,5.699871,0,1.8278,5.689,52.35,40.35,21.25,6,46.35,0.77,3.95,1.34,1.79,289.59
Ca2Cu2Br6,5.700191,0,3.2212,7.453,8.49,7.16,2.45,0.66,7.82,0.84,1.89,0.53,0.72,89.01
Mg2Pb2O6,5.755853,1.696,0.1894,6.065,40.26,-13.3,35.87,26.78,13.48,-0.33,3.72,3.03,3.32,503.85
Mg2Cu2Cl6,5.869103,0,2.9736,7.227,10.08,-9.6,0.93,9.84,0.24,-0.95,2.66,2.63,2.64,336.38
Sr2Pb2O6,5.879769,1.824,0.9079,5.788,30.41,19.67,17.69,5.37,25.04,0.65,2.78,1.17,1.52,242.37
Sr2Sn2O6,5.909227,1.739,0.2976,5.694,21.44,14.01,12.28,3.71,17.72,0.65,2.67,1.11,1.45,234.32
Mg2Zn2Br6,5.909449,0,2.8824,7.702,15.1,8.33,10.5,3.38,11.71,0.55,2.66,1.26,1.61,192.43
Mg2Mn2O6,5.915891,5.628,1.9778,5.444,38.12,28.45,16.89,4.84,33.28,0.75,4.81,1.71,2.28,385.74
Ba2Cu2S6,6.001459,0.036,0.3343,6.196,44.4,14.65,39.57,14.88,29.53,0.33,3.87,2.24,2.74,406.79
Ca2Ag2O6,6.005844,1.744,0.768,5.465,16.53,5.78,14.51,5.37,11.16,0.35,2.56,1.46,1.8,302.15
MgAgF3,6.033059,0,1.642,4.832,134.37,-17.37,132.13,75.87,58.5,-0.13,9.3,6.99,7.9,1063.4
Mg2Cu2Br6,6.087436,0,2.9866,7.646,18.29,-3.26,17.71,10.77,7.51,-0.18,2.92,2.24,2.51,302.18
Mg2Ni2O6,6.278254,0.015,0.7951,5.292,16.96,-0.32,16.96,8.64,8.32,-0.02,3.07,2.19,2.53,439.14
Ca2Ag2Br6,6.303109,0,2.9754,7.864,2.74,-2.27,0.86,2.5,0.23,-0.83,1.07,1.02,1.04,122.01
Mg2Co2O6,6.358534,1.916,0.1468,5.298,40.58,12.6,36.67,13.99,26.59,0.31,4.76,2.79,3.41,591.4
Mg2Cu2O6,6.473814,2.81,0.7752,5.255,13.3,10.55,4.93,1.37,11.92,0.79,2.65,0.85,1.15,201.09
Ca2Sn2O6,6.592659,1.822,0.4099,5.585,20.54,-1.84,20.38,11.19,9.35,-0.09,2.84,2.1,2.39,393.14
