Material,WorkFxn,mag_moment,Bandgap,lat_const,C11,C12,Y2D,G,K,v,V_l,V_s,V_m,T_D
BaCrS3,3.929643,1.971,0.3995,6.728,27.71,15.5,19.04,6.1,21.6,0.56,4.79,2.25,2.88,278.02
Sr2Fe2Te6,3.93145,2.441,0.2364,6.637,57.12,21.56,48.99,17.78,39.34,0.38,3.53,1.97,2.43,337.16
BaCoO3,3.932726,2.835,0.2008,5.68,31.02,23.74,12.85,3.64,27.38,0.77,4.62,1.58,2.12,242.51
Sr2Nb2O6,3.937139,0,1.9326,5.897,37.42,34.18,6.2,1.62,35.8,0.91,3.85,0.8,1.11,173.08
CePtO3,3.944199,1.671,0.2366,4.821,200.5,5.47,200.35,97.51,102.98,0.03,7.96,5.55,6.44,869.07
BaMoTe3,3.945586,1.749,0.482,7.423,13.96,3.07,13.28,5.44,8.51,0.22,2.55,1.59,1.91,167.44
SrIrCl3,3.950736,1.531,1.1973,6.308,15.97,3.83,15.05,6.07,9.9,0.24,2.93,1.81,2.17,224.15
Mg2Re2Cl6,3.953139,0,1.0999,7.096,15.95,14.45,2.85,0.75,15.2,0.91,2.57,0.56,0.77,99.66
MgZnF3,3.957249,0.052,0.6736,4.91,62.78,60.54,4.42,1.12,61.66,0.96,7.33,0.98,1.38,182.27
Ca2Co2Cl6,3.964136,3.915,1.8535,6.618,21.89,21.51,0.76,0.19,21.7,0.98,3.49,0.33,0.46,63.99
Mg2Ru2Br6,3.974702,1.954,1.0153,7.511,29.84,9.56,26.78,10.14,19.7,0.32,3.47,2.02,2.47,302.45
Mg2Cr2Br6,3.992845,3.822,0.2116,7.481,4.86,-4.1,1.4,4.48,0.38,-0.84,1.5,1.44,1.47,180.4
Ba2Mn2O6,3.998599,5.648,1.5055,5.644,32.82,29.74,5.86,1.54,31.28,0.91,3.37,0.73,1.01,164.22
CaReSe3,4.005314,0.952,0.0001,6.847,16.53,-3.96,15.58,10.24,6.29,-0.24,2.95,2.32,2.58,245.41
Ce2W2Cl6,4.008633,2.661,0.3561,5.911,42.75,14.67,37.72,14.04,28.71,0.34,3.01,1.72,2.12,329.2
SrPbO3,4.013997,1.81,1.6599,4.999,108.88,34.32,98.06,37.28,71.6,0.32,6.43,3.76,4.59,597.8
BaCrSe3,4.015005,2.072,0.4159,7.031,10.34,-6.93,5.7,8.63,1.71,-0.67,2.5,2.28,2.39,220.68
Ba2Mo2S6,4.018595,1.718,0.4182,6.846,39.54,23.18,25.95,8.18,31.36,0.59,3.83,1.74,2.24,301.27
BaPbO3,4.020834,1.789,1.6538,5.14,93.12,-2.51,93.05,47.81,45.3,-0.03,5.72,4.1,4.71,595.87
Sr2Ni2I6,4.031776,1.905,1.4062,7.831,10.38,8.93,2.7,0.73,9.65,0.86,1.77,0.47,0.64,75.41
Mg2Ag2S6,4.043438,0.316,0.1161,5.299,112.5,47.16,92.72,32.67,79.83,0.42,6,3.24,4.03,699.34
Ba2Ni2F6,4.045697,3.921,0.262,5.667,10.21,-1.23,10.07,5.72,4.49,-0.12,1.84,1.38,1.56,252.89
Ca2W2S6,4.047327,1.759,0.342,6.741,18.22,18.12,0.2,0.05,18.17,0.99,2.6,0.14,0.19,26.5
Sr2Co2Br6,4.050037,3.925,1.9791,7.068,26.56,22.84,6.91,1.86,24.7,0.86,2.99,0.79,1.08,140.83
CaAgI3,4.060824,0,1.0047,7.539,18.14,0.68,18.12,8.73,9.41,0.04,3.19,2.21,2.57,221.82
CaNbS3,4.064445,0.629,1.8846,6.494,7.95,0.91,7.84,3.52,4.43,0.12,2.76,1.84,2.16,216.66
Mg2Re2Br6,4.079027,-0.002,1.1198,7.579,17.01,15.99,1.98,0.51,16.5,0.94,2.38,0.41,0.57,69.7
CaReF3,4.085398,0.553,0.7083,4.908,126.49,101.58,44.92,12.46,114.04,0.8,7.49,2.35,3.17,420.23
Mg2Ag2Se6,4.091665,0.657,0.0882,5.833,64.52,-9.28,63.19,36.9,27.62,-0.14,3.94,2.98,3.36,529.71
BaSnS3,4.098657,0.6,0.2114,6.216,14.8,4.87,13.2,4.97,9.84,0.33,2.91,1.69,2.06,215.8
SrPtF3,4.107121,1.259,0.4105,5.138,87.36,0.01,87.36,43.68,43.69,0,5.95,4.21,4.86,614.94
SrZnSe3,4.111778,0.435,0.157,6.588,18.12,-2.91,17.66,10.51,7.61,-0.16,3.24,2.47,2.78,274.38
CaNbSe3,4.121199,0.67,1.6307,6.803,12.1,-9.23,5.06,10.67,1.43,-0.76,2.81,2.64,2.72,260.02
SrWBr3,4.126629,3.694,0.1521,6.67,21.62,8.85,18,6.38,15.24,0.41,3.13,1.7,2.11,206.24
Sr2Ni2F6,4.136089,3.917,0.3299,5.503,7.53,0.86,7.43,3.33,4.19,0.11,1.71,1.14,1.34,223.92
Ce2Cr2O6,4.138454,-1.936,0.487,5.519,49.63,33.2,27.42,8.21,41.41,0.67,4.05,1.65,2.16,359.82
Ba2Ti2Te6,4.144305,-0.002,0.3671,7.855,14.87,9.72,8.52,2.58,12.29,0.65,2.05,0.85,1.12,130.59
Sr2V2O6,4.155798,0,1.8115,5.587,59.7,40.15,32.69,9.77,49.93,0.67,5.1,2.06,2.71,445.61
BaNbS3,4.156637,0.643,2.5503,6.81,16.66,5.61,14.77,5.52,11.14,0.34,3.51,2.02,2.48,236.78
BaIrS3,4.157525,0.907,0.2181,6.556,12.86,7.78,8.15,2.54,10.32,0.61,2.6,1.16,1.49,148.24
MgZnS3,4.161416,0.425,0.2467,5.895,9.3,1.31,9.12,4,5.31,0.14,3.01,1.97,2.33,257.58
Sr2Fe2O6,4.163486,5.65,0.1283,5.461,48.06,42.36,10.73,2.85,45.21,0.88,4.42,1.08,1.48,249.1
Ba2V2S6,4.169437,1.993,0.011,6.748,45.14,20.56,35.78,12.29,32.85,0.46,4.34,2.26,2.84,387.08
Ca2Cu2F6,4.186557,0.229,0.1641,5.661,8.03,5.92,3.67,1.06,6.98,0.74,2.04,0.74,0.99,160.17
Ca2Nb2O6,4.187393,0,2.2513,5.851,31.16,16.15,22.78,7.5,23.66,0.52,3.92,1.92,2.44,383.91
Mg2Ag2Te6,4.195756,0.698,0.1125,6.561,59.72,-2.91,59.58,31.32,28.4,-0.05,3.61,2.61,2.99,419.51
MgPbO3,4.195879,1.858,1.164,4.692,223.6,-55.48,209.83,139.54,84.06,-0.25,9.58,7.57,8.4,1164.54
BaCoSe3,4.198628,2.676,0.3315,6.662,24.28,17.14,12.19,3.57,20.71,0.71,3.6,1.38,1.82,178.15
Ba2Ir2O6,4.198805,1.868,0.3068,5.877,62.88,32.48,46.1,15.2,47.68,0.52,3.87,1.9,2.42,378.19
Ca2Ag2Te6,4.201059,0.11,0.0882,6.57,62.28,15.87,58.24,23.21,39.08,0.25,3.63,2.22,2.68,374.87
BaRuTe3,4.205737,1.941,0.288,7.161,13.53,5.7,11.13,3.92,9.61,0.42,2.41,1.3,1.62,146.84
BaMoO3,4.207365,0,3.2075,6.005,16.78,6.66,14.14,5.06,11.72,0.4,3.35,1.84,2.28,246.99
Sr2Cr2O6,4.211772,3.669,0.1254,5.535,61.32,26.77,49.64,17.28,44.05,0.44,5.11,2.71,3.39,562.99
BaAgI3,4.217438,0,2.3161,7.897,17.72,0.67,17.7,8.53,9.2,0.04,3.03,2.1,2.45,201.45
Mg2Mn2F6,4.225755,5.534,2.2402,5.854,21.51,7.85,18.65,6.83,14.68,0.36,3.76,2.12,2.61,409.72
SrWF3,4.226618,2.745,0.5384,5.083,72.15,-3.9,71.94,38.02,34.13,-0.05,5.44,3.95,4.52,578.32
SrTiO3,4.238121,0,2.4362,5.465,39.96,26,23.05,6.98,32.98,0.65,5.82,2.43,3.18,378.04
SrCuCl3,4.239713,0,2.7048,6.717,26.08,-3.57,25.59,14.82,11.25,-0.14,4.88,3.68,4.16,402.37
Mg2Sn2F6,4.249559,0,2.712,6.128,4.16,-0.27,4.14,2.21,1.94,-0.07,1.43,1.04,1.19,178.51
BaCuI3,4.251933,0,2.4767,7.824,25.35,8.75,22.33,8.3,17.05,0.35,3.73,2.13,2.62,217.78
BaNbSe3,4.252823,0.681,2.451,7.121,14.3,2.05,14.01,6.13,8.18,0.14,2.85,1.86,2.2,201.27
Mg2Co2Te6,4.253801,3.187,0.1078,6.418,32.47,14.44,26.05,9.01,23.45,0.44,2.74,1.44,1.8,258.43
BaCoTe3,4.255368,1.953,0.1969,7.017,13.75,10.29,6.05,1.73,12.02,0.75,2.47,0.88,1.17,108.16
CaCrS3,4.259159,1.923,0.0004,6.313,13.83,0.26,13.82,6.78,7.04,0.02,3.91,2.74,3.17,326.55
CaMnTe3,4.26017,3.108,0.3007,6.849,6.56,6.34,0.44,0.11,6.45,0.97,1.83,0.24,0.33,31.78
SrIrS3,4.265699,0.907,0.2572,6.372,4.43,0.27,4.41,2.08,2.35,0.06,1.58,1.08,1.26,128.89
Ba2Ru2S6,4.274616,3.434,0.5141,6.604,42.24,21.75,31.03,10.24,31.99,0.51,3.79,1.87,2.37,329.69
Mg2Ni2Te6,4.27556,1.761,0.184,6.397,50.97,23.64,40,13.66,37.31,0.46,3.42,1.77,2.22,319.45
Mg2Fe2Te6,4.276017,2.463,0.1784,6.402,40.61,27.26,22.3,6.67,33.94,0.67,3.06,1.24,1.63,233.69
Mg2Cu2Te6,4.276176,0.323,0.2252,6.467,52.42,-5.01,51.95,28.72,23.71,-0.1,3.48,2.58,2.93,417.03
BaCuCl3,4.279094,0,3.1777,6.819,21.11,16.74,7.84,2.19,18.93,0.79,4.08,1.31,1.77,168.72
Mg2Cr2Cl6,4.285234,1.976,1.8972,7.041,18.15,9.14,13.55,4.5,13.64,0.5,3.58,1.79,2.26,295.22
Ba2Ti2Se6,4.286515,0,0.7487,7.136,36.29,14.68,30.35,10.81,25.48,0.4,3.38,1.84,2.29,295
SrWCl3,4.292595,3.68,0.1001,6.17,32.44,17.26,23.26,7.59,24.85,0.53,4.13,2,2.54,268.04
SrCuBr3,4.293616,0,2.2457,7.165,15.64,-9.54,9.83,12.59,3.05,-0.61,3.27,2.94,3.09,280.6
Mg2Mn2Br6,4.296585,9.118,1.6855,7.31,22.88,9.38,19.03,6.75,16.13,0.41,3.16,1.72,2.13,268.48
MgNbSe3,4.303502,0.349,0.5592,6.936,3.79,1.68,3.05,1.05,2.74,0.44,1.64,0.86,1.08,101.39
